title,author,isbn13,publication_date,publisher,authorID,publisherID
Homelands: Women’s Journeys Across Race  Place  and Time,Patricia Justine Tumang,9781580051880,2006-12-21 00:00:00.000,Seal Press,106647,2765
Homelands: Women’s Journeys Across Race  Place  and Time,Edwidge Danticat,9781580051880,2006-12-21 00:00:00.000,Seal Press,102303,2765
Homelands: Women’s Journeys Across Race  Place  and Time,Jenesha de Rivera,9781580051880,2006-12-21 00:00:00.000,Seal Press,103980,2765
The Rapture: Who Will Face the Tribulation,Tim LaHaye,9780736909525,2002-03-01 00:00:00.000,Harvest House Publishers,108636,1922
The Regime: Evil Advances  (Before They Were Left Behind  #2),Tim LaHaye,9781414305776,2006-04-01 00:00:00.000,Tyndale House Publishers,108636,3015
The Regime: Evil Advances  (Before They Were Left Behind  #2),Jerry B. Jenkins,9781414305776,2006-04-01 00:00:00.000,Tyndale House Publishers,104034,3015
The Earth and Its Peoples: Volume II,Richard W. Bulliet,9780618471164,2005-05-09 00:00:00.000,Cengage Learning,107353,1365
The Earth and Its Peoples: Volume II,Daniel R. Headrick,9780618471164,2005-05-09 00:00:00.000,Cengage Learning,101619,1365
The Earth and Its Peoples: Volume II,David Northrup,9780618471164,2005-05-09 00:00:00.000,Cengage Learning,101834,1365
The Earth and Its Peoples: Volume II,Lyman L. Johnson,9780618471164,2005-05-09 00:00:00.000,Cengage Learning,105420,1365
The Earth and Its Peoples: Volume II,Pamela Kyle Crossley,9780618471164,2005-05-09 00:00:00.000,Cengage Learning,106603,1365
The Earth and Its Peoples: Volume II,Steven W. Hirsch,9780618471164,2005-05-09 00:00:00.000,Cengage Learning,108311,1365
The Earth and Its Peoples: Volume II,Steven Hirsch,9780618471164,2005-05-09 00:00:00.000,Cengage Learning,108296,1365
The Earth and Its Peoples: A Global History  Volume C: Since 1750,Richard W. Bulliet,9780618427697,2004-02-09 00:00:00.000,Cengage Learning,107353,1365
The Earth and Its Peoples: A Global History  Volume C: Since 1750,Pamela Kyle Crossley,9780618427697,2004-02-09 00:00:00.000,Cengage Learning,106603,1365
The Earth and Its Peoples: A Global History  Volume C: Since 1750,Steven Hirsch,9780618427697,2004-02-09 00:00:00.000,Cengage Learning,108296,1365
Inside the Mind of Gideon Rayburn (Midvale Academy  #1),Sarah Miller,9780312333751,2006-05-02 00:00:00.000,St. Martin's Griffin,107912,2859
Patience & Sarah,Isabel Miller,9781551521916,2005-09-01 00:00:00.000,Arsenal Pulp Press,103502,1119
Patience & Sarah,Emma Donoghue,9781551521916,2005-09-01 00:00:00.000,Arsenal Pulp Press,102467,1119
The Razor's Edge,W. Somerset Maugham,9781400034208,2003-09-09 00:00:00.000,Vintage International,108901,3107
Razor's Edge: The Unofficial History of the Falklands War,Hugh Bicheno,9780753821862,2007-03-01 00:00:00.000,Phoenix,103393,2515
Razor's Edge: The Unofficial History of the Falklands War,Richard   Holmes,9780753821862,2007-03-01 00:00:00.000,Phoenix,107219,2515
Clarissa  Or The History of a Young Lady,Samuel Richardson,9780451529794,2005-10-04 00:00:00.000,Signet Classics,107856,2798
Clarissa  Or The History of a Young Lady,Sheila Ortiz Taylor,9780451529794,2005-10-04 00:00:00.000,Signet Classics,108028,2798
The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Douglas Adams,9780563504078,2005-06-20 00:00:00.000,BBC Audiobooks,102139,1169
The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Dirk Maggs,9780563504078,2005-06-20 00:00:00.000,BBC Audiobooks,102027,1169
The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Simon  Jones,9780563504078,2005-06-20 00:00:00.000,BBC Audiobooks,108083,1169
The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Geoffrey McGivern,9780563504078,2005-06-20 00:00:00.000,BBC Audiobooks,102889,1169
The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Mark Wing-Davey,9780563504078,2005-06-20 00:00:00.000,BBC Audiobooks,105749,1169
The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Susan  Sheridan,9780563504078,2005-06-20 00:00:00.000,BBC Audiobooks,108359,1169
The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Sandra Dickinson,9780563504078,2005-06-20 00:00:00.000,BBC Audiobooks,107871,1169
The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Stephen  Moore,9780563504078,2005-06-20 00:00:00.000,BBC Audiobooks,108170,1169
The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),William Franklyn,9780563504078,2005-06-20 00:00:00.000,BBC Audiobooks,109046,1169
The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Rula Lenska,9780563504078,2005-06-20 00:00:00.000,BBC Audiobooks,107752,1169
The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Sam  Burke,9780563504078,2005-06-20 00:00:00.000,BBC Audiobooks,107833,1169
The Secret of Shambhala: In Search of the Eleventh Insight (Celestine Prophecy  #3),James Redfield,9780446676489,2001-11-01 00:00:00.000,Grand Central Publishing,103762,1783
The Janson Directive (Paul Janson  #1),Robert Ludlum,9780312989385,2003-10-19 00:00:00.000,St. Martin's Paperbacks,107513,2862
The Moscow Vector (Covert-One  #6),Patrick Larkin,9780312990718,2006-02-07 00:00:00.000,St. Martin's Paperbacks,106666,2862
The Moscow Vector (Covert-One  #6),Robert Ludlum,9780312990718,2006-02-07 00:00:00.000,St. Martin's Paperbacks,107513,2862
The Ambler Warning,Robert Ludlum,9780312990695,2006-11-01 00:00:00.000,St. Martin's Paperbacks,107513,2862
The Bourne Ultimatum (Jason Bourne  #3),Robert Ludlum,9780752858494,2004-05-06 00:00:00.000,Orion,107513,2402
The Sigma Protocol,Robert Ludlum,9780312982515,2002-10-13 00:00:00.000,St. Martin's Paperbacks,107513,2862
The Arctic Event (Covert-One  #7),James H. Cobb,9780446699075,2007-09-26 00:00:00.000,Warner Books,103710,3144
The Arctic Event (Covert-One  #7),Robert Ludlum,9780446699075,2007-09-26 00:00:00.000,Warner Books,107513,3144
The Altman Code (Covert-One  #4),Gayle Lynds,9781593978860,2005-09-30 00:00:00.000,Audio Renaissance,102860,1144
The Altman Code (Covert-One  #4),Robert Ludlum,9781593978860,2005-09-30 00:00:00.000,Audio Renaissance,107513,1144
The Altman Code (Covert-One  #4),Don Leslie,9781593978860,2005-09-30 00:00:00.000,Audio Renaissance,102047,1144
The Matlock Paper,Robert Ludlum,9780752858630,2005-08-24 00:00:00.000,Orion Books,107513,2404
Fat Pig,Neil LaBute,9780571211500,2004-11-29 00:00:00.000,Farrar  Straus and Giroux,106409,1671
Hickory Dickory Dock (Hercule Poirot  #32),Agatha Christie,9781572705647,2006-12-07 00:00:00.000,AudioGO,100079,1145
Hickory Dickory Dock (Hercule Poirot  #32),Hugh Fraser,9781572705647,2006-12-07 00:00:00.000,AudioGO,103396,1145
A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,Agatha Christie,9780792737360,2014-04-01 00:00:00.000,Blackstone Audiobooks,100079,1269
A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,Michael Bakewell,9780792737360,2014-04-01 00:00:00.000,Blackstone Audiobooks,106033,1269
A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,June Whitfield,9780792737360,2014-04-01 00:00:00.000,Blackstone Audiobooks,104697,1269
A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,Nicky Henson,9780792737360,2014-04-01 00:00:00.000,Blackstone Audiobooks,106463,1269
A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,Derek Waring,9780792737360,2014-04-01 00:00:00.000,Blackstone Audiobooks,101972,1269
A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,Natasha Pyne,9780792737360,2014-04-01 00:00:00.000,Blackstone Audiobooks,106388,1269
The Dance of Anger,Harriet Lerner,9780060741044,2005-05-03 00:00:00.000,William Morrow & Company,103207,3185
Dance of the Gods (Circle Trilogy  #2),Nora Roberts,9780515141665,2006-10-03 00:00:00.000,Jove,106513,2055
Blood Canticle (The Vampire Chronicles #10),Anne Rice,9780099460176,2004-11-04 00:00:00.000,Arrow,100465,1115
Violin,Anne Rice,9788466302203,2002-01-01 00:00:00.000,Distribooks,100465,1562
